"Team" "W" "L" "PTS" "PTS.G" "oppPTS" "oppPTS.G" "ptsDIFF" "ptsDIFF.G" "Playoffs" "Year" "G" "MP" "FG" "FGA" "FG_P" "x3P" "x3PA" "x3P_P" "x2P" "x2PA" "x2P_P" "FT" "FTA" "FT_P" "ORB" "DRB" "TRB" "AST" "STL" "BLK" "TOV"
"314" "New Orleans Hornets" 37 45 8220 100.2 8422 102.7 -202 -2.5 0 2010 82 19830 3178 6842 0.464 571 1572 0.363 2607 5270 0.495 1293 1661 0.778 852 2450 3302 1828 625 300 1103
"315" "New York Knicks" 29 53 8373 102.1 8686 105.9 -313 -3.80000000000001 0 2010 82 19880 3127 6876 0.455 743 2145 0.346 2384 4731 0.504 1376 1759 0.782 836 2477 3313 1772 586 305 1148
"316" "Oklahoma City Thunder" 50 32 8322 101.5 8036 98 286 3.5 1 2010 82 19805 3063 6629 0.462 418 1229 0.34 2645 5400 0.49 1778 2210 0.805 960 2607 3567 1639 654 481 1227
"317" "Orlando Magic" 59 23 8426 102.8 7812 95.3 614 7.5 1 2010 82 19730 3005 6394 0.47 841 2241 0.375 2164 4153 0.521 1575 2176 0.724 810 2736 3546 1615 512 456 1155
"318" "Philadelphia 76ers" 27 55 8014 97.7 8334 101.6 -320 -3.89999999999999 0 2010 82 19805 3087 6706 0.46 474 1381 0.343 2613 5325 0.491 1366 1808 0.756 941 2421 3362 1723 667 439 1192
"319" "Phoenix Suns" 54 28 9039 110.2 8637 105.3 402 4.90000000000001 1 2010 82 19730 3339 6788 0.492 730 1770 0.412 2609 5018 0.52 1631 2117 0.77 910 2616 3526 1912 479 418 1210
"320" "Portland Trail Blazers" 50 32 8045 98.1 7774 94.8 271 3.3 1 2010 82 19855 2974 6453 0.461 491 1388 0.354 2483 5065 0.49 1606 2033 0.79 913 2383 3296 1674 523 350 1012
"321" "Sacramento Kings" 25 57 8200 100 8558 104.4 -358 -4.40000000000001 0 2010 82 19880 3144 6895 0.456 482 1383 0.349 2662 5512 0.483 1430 1969 0.726 977 2518 3495 1679 564 366 1226
"322" "San Antonio Spurs" 50 32 8312 101.4 7895 96.3 417 5.10000000000001 1 2010 82 19780 3150 6659 0.473 554 1547 0.358 2596 5112 0.508 1458 1969 0.74 887 2621 3508 1829 516 381 1116
"323" "Toronto Raptors" 40 42 8534 104.1 8680 105.9 -146 -1.80000000000001 0 2010 82 19780 3199 6631 0.482 518 1397 0.371 2681 5234 0.512 1618 2118 0.764 806 2507 3313 1804 469 384 1100
"324" "Utah Jazz" 53 29 8547 104.2 8109 98.9 438 5.3 1 2010 82 19755 3227 6575 0.491 439 1207 0.364 2788 5368 0.519 1654 2233 0.741 872 2588 3460 2187 675 400 1246
"325" "Washington Wizards" 26 56 7892 96.2 8284 101 -392 -4.8 0 2010 82 19830 3008 6700 0.449 432 1225 0.353 2576 5475 0.471 1444 1895 0.762 966 2458 3424 1557 493 421 1219
"326" "Atlanta Hawks" 44 38 7790 95 7857 95.8 -67 -0.799999999999997 1 2011 82 19730 2971 6429 0.462 502 1427 0.352 2469 5002 0.494 1346 1728 0.779 762 2460 3222 1802 497 341 1118
"327" "Boston Celtics" 56 26 7913 96.5 7473 91.1 440 5.40000000000001 1 2011 82 19780 3023 6219 0.486 408 1119 0.365 2615 5100 0.513 1459 1895 0.77 639 2542 3181 1921 676 344 1195
"328" "Charlotte Bobcats" 34 48 7650 93.3 7978 97.3 -328 -4 0 2011 82 19805 2873 6365 0.451 393 1203 0.327 2480 5162 0.48 1511 1999 0.756 848 2444 3292 1728 524 433 1192
"329" "Chicago Bulls" 62 20 8087 98.6 7487 91.3 600 7.3 1 2011 82 19830 3042 6587 0.462 511 1415 0.361 2531 5172 0.489 1492 2008 0.743 967 2654 3621 1827 592 468 1161
"330" "Cleveland Cavaliers" 19 63 7827 95.5 8566 104.5 -739 -9 0 2011 82 19755 2886 6647 0.434 509 1489 0.342 2377 5158 0.461 1546 2075 0.745 856 2449 3305 1720 544 341 1166
"331" "Dallas Mavericks" 57 25 8220 100.2 7873 96 347 4.2 1 2011 82 19705 3069 6463 0.475 645 1768 0.365 2424 4695 0.516 1437 1850 0.777 780 2618 3398 1954 557 352 1145
"332" "Denver Nuggets" 50 32 8811 107.5 8421 102.7 390 4.8 1 2011 82 19705 3145 6613 0.476 662 1704 0.388 2483 4909 0.506 1859 2429 0.765 791 2652 3443 1813 605 352 1157
"333" "Detroit Pistons" 30 52 7951 97 8246 100.6 -295 -3.59999999999999 0 2011 82 19880 3056 6647 0.46 472 1256 0.376 2584 5391 0.479 1367 1854 0.737 931 2236 3167 1730 595 328 1067
"334" "Golden State Warriors" 36 46 8477 103.4 8668 105.7 -191 -2.3 0 2011 82 19830 3251 7047 0.461 685 1749 0.392 2566 5298 0.484 1290 1695 0.761 955 2370 3325 1847 737 406 1198
"335" "Houston Rockets" 43 39 8685 105.9 8506 103.7 179 2.2 0 2011 82 19880 3170 6975 0.454 677 1843 0.367 2493 5132 0.486 1668 2083 0.801 962 2549 3511 1955 581 371 1110
"336" "Indiana Pacers" 37 45 8183 99.8 8271 100.9 -88 -1.10000000000001 1 2011 82 19780 3003 6787 0.442 585 1653 0.354 2418 5134 0.471 1592 2035 0.782 914 2657 3571 1611 584 456 1262
"337" "Los Angeles Clippers" 32 50 8089 98.6 8346 101.8 -257 -3.2 0 2011 82 19855 3015 6594 0.457 513 1519 0.338 2502 5075 0.493 1546 2187 0.707 955 2501 3456 1813 585 402 1343
"338" "Los Angeles Lakers" 57 25 8321 101.5 7820 95.4 501 6.09999999999999 1 2011 82 19830 3128 6757 0.463 524 1487 0.352 2604 5270 0.494 1541 1979 0.779 989 2616 3605 1801 602 422 1073
"339" "Memphis Grizzlies" 46 36 8195 99.9 8003 97.6 192 2.30000000000001 1 2011 82 19880 3200 6801 0.471 309 926 0.334 2891 5875 0.492 1486 1981 0.75 970 2391 3361 1691 771 441 1145
"340" "Miami Heat" 58 24 8369 102.1 7757 94.6 612 7.5 1 2011 82 19780 3031 6301 0.481 547 1479 0.37 2484 4822 0.515 1760 2288 0.769 790 2666 3456 1639 544 430 1142
"341" "Milwaukee Bucks" 35 47 7534 91.9 7603 92.7 -69 -0.799999999999997 0 2011 82 19830 2814 6544 0.43 483 1414 0.342 2331 5130 0.454 1423 1881 0.757 862 2480 3342 1545 617 399 1103
"342" "Minnesota Timberwolves" 17 65 8288 101.1 8832 107.7 -544 -6.60000000000001 0 2011 82 19780 3090 7014 0.441 589 1565 0.376 2501 5449 0.459 1519 1977 0.768 1085 2556 3641 1650 592 422 1398
"343" "New Jersey Nets" 24 58 7722 94.2 8234 100.4 -512 -6.2 0 2011 82 20005 2918 6638 0.44 459 1337 0.343 2459 5301 0.464 1427 1881 0.759 909 2440 3349 1723 458 384 1152
"344" "New Orleans Hornets" 46 36 7784 94.9 7711 94 73 0.900000000000006 1 2011 82 19830 2944 6416 0.459 444 1232 0.36 2500 5184 0.482 1452 1897 0.765 824 2468 3292 1691 624 359 1069
"345" "New York Knicks" 42 40 8734 106.5 8670 105.7 64 0.799999999999997 1 2011 82 19780 3140 6867 0.457 765 2081 0.368 2375 4786 0.496 1689 2087 0.809 847 2470 3317 1757 625 475 1123
"346" "Oklahoma City Thunder" 55 27 8596 104.8 8285 101 311 3.8 1 2011 82 20005 3066 6609 0.464 487 1403 0.347 2579 5206 0.495 1977 2401 0.823 903 2604 3507 1672 654 487 1156
"347" "Orlando Magic" 52 30 8135 99.2 7687 93.7 448 5.5 1 2011 82 19830 2956 6411 0.461 770 2103 0.366 2186 4308 0.507 1453 2101 0.692 864 2679 3543 1636 548 384 1224
"348" "Philadelphia 76ers" 41 41 8119 99 7996 97.5 123 1.5 1 2011 82 19930 3125 6776 0.461 443 1248 0.355 2682 5528 0.485 1426 1851 0.77 850 2578 3428 1861 621 355 1063
"349" "Phoenix Suns" 40 42 8611 105 8684 105.9 -73 -0.900000000000006 0 2011 82 20005 3219 6844 0.47 701 1857 0.377 2518 4987 0.505 1472 1939 0.759 821 2478 3299 1945 545 357 1169
"350" "Portland Trail Blazers" 48 34 7896 96.3 7771 94.8 125 1.5 1 2011 82 19805 2951 6599 0.447 518 1503 0.345 2433 5096 0.477 1476 1835 0.804 996 2230 3226 1736 660 358 1070
"351" "Sacramento Kings" 24 58 8151 99.4 8589 104.7 -438 -5.3 0 2011 82 19855 3134 6979 0.449 428 1277 0.335 2706 5702 0.475 1455 1981 0.734 1071 2526 3597 1675 608 391 1324
"352" "San Antonio Spurs" 61 21 8502 103.7 8034 98 468 5.7 1 2011 82 19780 3148 6628 0.475 685 1727 0.397 2463 4901 0.503 1521 1984 0.767 829 2603 3432 1836 602 372 1101
"353" "Toronto Raptors" 22 60 8124 99.1 8639 105.4 -515 -6.30000000000001 0 2011 82 19780 3144 6755 0.465 345 1091 0.316 2799 5664 0.494 1491 1976 0.755 963 2343 3306 1795 581 350 1206
"354" "Utah Jazz" 39 43 8153 99.4 8303 101.3 -150 -1.89999999999999 0 2011 82 19880 3064 6590 0.465 435 1256 0.346 2629 5334 0.493 1590 2061 0.771 898 2338 3236 1921 629 484 1175
"355" "Washington Wizards" 23 59 7977 97.3 8584 104.7 -607 -7.40000000000001 0 2011 82 19930 3048 6888 0.443 392 1182 0.332 2656 5706 0.465 1489 1999 0.745 1013 2374 3387 1592 665 502 1258
"356" "Atlanta Hawks" 40 26 6375 96.6 6148 93.2 227 3.39999999999999 1 2012 66 16165 2429 5348 0.454 492 1330 0.37 1937 4018 0.482 1025 1385 0.74 652 2066 2718 1481 536 303 921
"357" "Boston Celtics" 39 27 6062 91.8 5896 89.3 166 2.5 1 2012 66 15940 2341 5086 0.46 363 988 0.367 1978 4098 0.483 1017 1308 0.778 509 2051 2560 1557 498 362 979
"358" "Charlotte Bobcats" 7 59 5739 87 6657 100.9 -918 -13.9 0 2012 66 15890 2193 5293 0.414 263 892 0.295 1930 4401 0.439 1090 1462 0.746 677 1894 2571 1326 397 361 957
"359" "Chicago Bulls" 50 16 6359 96.3 5819 88.2 540 8.09999999999999 1 2012 66 15940 2467 5462 0.452 419 1117 0.375 2048 4345 0.471 1006 1394 0.722 915 2165 3080 1527 456 388 923
"360" "Cleveland Cavaliers" 21 45 6140 93 6615 100.2 -475 -7.2 0 2012 66 15965 2261 5360 0.422 440 1273 0.346 1821 4087 0.446 1178 1645 0.716 841 1949 2790 1308 466 262 1017
"361" "Dallas Mavericks" 36 30 6322 95.8 6259 94.8 63 1 1 2012 66 16065 2398 5412 0.443 497 1464 0.339 1901 3948 0.482 1029 1334 0.771 665 2157 2822 1380 565 337 926
"362" "Denver Nuggets" 38 28 6872 104.1 6682 101.2 190 2.89999999999999 1 2012 66 16040 2572 5404 0.476 435 1311 0.332 2137 4093 0.522 1293 1760 0.735 738 2105 2843 1581 540 330 1015
"363" "Detroit Pistons" 25 41 5997 90.9 6313 95.7 -316 -4.8 0 2012 66 15965 2291 5232 0.438 317 916 0.346 1974 4316 0.457 1098 1461 0.752 775 1882 2657 1232 460 278 1033
"364" "Golden State Warriors" 23 43 6453 97.8 6678 101.2 -225 -3.40000000000001 0 2012 66 15915 2489 5443 0.457 524 1351 0.388 1965 4092 0.48 951 1235 0.77 640 1947 2587 1470 528 362 915
"365" "Houston Rockets" 34 32 6474 98.1 6459 97.9 15 0.199999999999989 0 2012 66 16065 2489 5543 0.449 478 1330 0.359 2011 4213 0.477 1018 1301 0.782 769 2014 2783 1404 496 319 955
"366" "Indiana Pacers" 42 24 6449 97.7 6231 94.4 218 3.3 1 2012 66 15990 2354 5375 0.438 392 1064 0.368 1962 4311 0.455 1349 1724 0.782 826 2070 2896 1228 523 357 925
"367" "Los Angeles Clippers" 40 26 6438 97.5 6269 95 169 2.5 1 2012 66 15965 2439 5366 0.455 514 1441 0.357 1925 3925 0.49 1046 1538 0.68 800 1943 2743 1385 556 315 879
"368" "Los Angeles Lakers" 41 25 6422 97.3 6328 95.9 94 1.39999999999999 1 2012 66 16065 2429 5319 0.457 362 1112 0.326 2067 4207 0.491 1202 1589 0.756 799 2251 3050 1485 390 351 997
"369" "Memphis Grizzlies" 41 25 6269 95 6136 93 133 2 1 2012 66 15940 2425 5422 0.447 277 849 0.326 2148 4573 0.47 1142 1504 0.759 831 1944 2775 1290 631 345 955
"370" "Miami Heat" 46 20 6500 98.5 6105 92.5 395 6 1 2012 66 16040 2446 5212 0.469 370 1030 0.359 2076 4182 0.496 1238 1598 0.775 686 2060 2746 1317 585 355 1002
"371" "Milwaukee Bucks" 31 35 6535 99 6517 98.7 18 0.299999999999997 0 2012 66 15865 2502 5652 0.443 436 1265 0.345 2066 4387 0.471 1095 1415 0.774 820 1983 2803 1550 548 335 929
"372" "Minnesota Timberwolves" 26 40 6464 97.9 6609 100.1 -145 -2.19999999999999 0 2012 66 15940 2355 5434 0.433 473 1423 0.332 1882 4011 0.469 1281 1662 0.771 797 2089 2886 1290 436 293 1001
"373" "New Jersey Nets" 22 44 6144 93.1 6539 99.1 -395 -6 0 2012 66 15890 2262 5320 0.425 507 1481 0.342 1755 3839 0.457 1113 1433 0.777 783 1879 2662 1311 493 260 995
"374" "New Orleans Hornets" 21 45 5916 89.6 6164 93.4 -248 -3.80000000000001 0 2012 66 15940 2300 5103 0.451 259 777 0.333 2041 4326 0.472 1057 1397 0.757 724 1991 2715 1368 488 316 1024
"375" "New York Knicks" 36 30 6458 97.8 6247 94.7 211 3.09999999999999 1 2012 66 15940 2365 5335 0.443 517 1538 0.336 1848 3797 0.487 1211 1634 0.741 743 2012 2755 1328 622 276 1056
"376" "Oklahoma City Thunder" 47 19 6802 103.1 6398 96.9 404 6.19999999999999 1 2012 66 15990 2462 5229 0.471 472 1317 0.358 1990 3912 0.509 1406 1744 0.806 726 2157 2883 1224 498 539 1079
"377" "Orlando Magic" 37 29 6215 94.2 6163 93.4 52 0.799999999999997 1 2012 66 15965 2275 5162 0.441 670 1785 0.375 1605 3377 0.475 995 1508 0.66 742 2060 2802 1321 451 275 984
"378" "Philadelphia 76ers" 35 31 6180 93.6 5900 89.4 280 4.19999999999999 1 2012 66 15915 2471 5516 0.448 349 963 0.362 2122 4553 0.466 889 1198 0.742 704 2144 2848 1453 526 340 738
"379" "Phoenix Suns" 33 33 6492 98.4 6508 98.6 -16 -0.199999999999989 0 2012 66 15840 2495 5445 0.458 444 1295 0.343 2051 4150 0.494 1058 1397 0.757 717 2035 2752 1486 431 366 928
"380" "Portland Trail Blazers" 28 38 6415 97.2 6456 97.8 -41 -0.599999999999994 0 2012 66 15965 2402 5417 0.443 478 1382 0.346 1924 4035 0.477 1133 1423 0.796 735 1949 2684 1349 528 322 935
"381" "Sacramento Kings" 22 44 6518 98.8 6893 104.4 -375 -5.60000000000001 0 2012 66 15915 2490 5712 0.436 411 1301 0.316 2079 4411 0.471 1127 1532 0.736 882 1947 2829 1271 561 323 952
"382" "San Antonio Spurs" 50 16 6841 103.7 6368 96.5 473 7.2 1 2012 66 15940 2611 5463 0.478 552 1405 0.393 2059 4058 0.507 1067 1427 0.748 683 2153 2836 1528 490 293 895
"383" "Toronto Raptors" 23 43 5986 90.7 6204 94 -218 -3.3 0 2012 66 15965 2268 5154 0.44 365 1075 0.34 1903 4079 0.467 1085 1410 0.77 697 2074 2771 1382 429 321 1001
"384" "Utah Jazz" 36 30 6577 99.7 6536 99 41 0.700000000000003 1 2012 66 16165 2523 5531 0.456 273 845 0.323 2250 4686 0.48 1258 1668 0.754 861 2055 2916 1439 545 385 936
"385" "Washington Wizards" 20 46 6180 93.6 6497 98.4 -317 -4.80000000000001 0 2012 66 15865 2414 5475 0.441 344 1075 0.32 2070 4400 0.47 1008 1386 0.727 775 1975 2750 1262 527 417 1008
"386" "Atlanta Hawks" 44 38 8032 98 7999 97.5 33 0.5 1 2013 82 19855 3084 6644 0.464 706 1901 0.371 2378 4743 0.501 1158 1619 0.715 758 2593 3351 2007 664 369 1219
"387" "Boston Celtics" 41 40 7818 96.5 7836 96.7 -18 -0.200000000000003 1 2013 81 19840 3001 6459 0.465 498 1390 0.358 2503 5069 0.494 1318 1698 0.776 654 2533 3187 1843 667 365 1181
"388" "Brooklyn Nets" 49 33 7944 96.9 7798 95.1 146 1.80000000000001 1 2013 82 19855 2942 6544 0.45 628 1760 0.357 2314 4784 0.484 1432 1958 0.731 1047 2460 3507 1668 599 391 1206
"389" "Charlotte Bobcats" 21 61 7661 93.4 8418 102.7 -757 -9.3 0 2013 82 19805 2823 6649 0.425 469 1399 0.335 2354 5250 0.448 1546 2060 0.75 917 2389 3306 1587 591 479 1153
"390" "Chicago Bulls" 45 37 7641 93.2 7615 92.9 26 0.299999999999997 1 2013 82 19830 2926 6698 0.437 446 1265 0.353 2480 5433 0.456 1343 1738 0.773 1026 2514 3540 1886 588 417 1171
"391" "Cleveland Cavaliers" 24 58 7913 96.5 8297 101.2 -384 -4.7 0 2013 82 19730 2993 6901 0.434 547 1581 0.346 2446 5320 0.46 1380 1826 0.756 1004 2359 3363 1694 647 334 1149
"392" "Dallas Mavericks" 41 41 8293 101.1 8342 101.7 -49 -0.600000000000009 0 2013 82 19980 3182 6892 0.462 606 1628 0.372 2576 5264 0.489 1323 1669 0.793 767 2670 3437 1906 648 454 1144
"393" "Denver Nuggets" 57 25 8704 106.1 8287 101.1 417 5 1 2013 82 19905 3339 6983 0.478 521 1518 0.343 2818 5465 0.516 1505 2148 0.701 1092 2601 3693 2002 762 533 1253
"394" "Detroit Pistons" 29 53 7778 94.9 8105 98.8 -327 -3.89999999999999 0 2013 82 19805 2979 6638 0.449 513 1440 0.356 2466 5198 0.474 1307 1870 0.699 991 2463 3454 1742 574 400 1241
"395" "Golden State Warriors" 47 35 8296 101.2 8223 100.3 73 0.900000000000006 1 2013 82 19805 3130 6840 0.458 658 1632 0.403 2472 5208 0.475 1378 1744 0.79 885 2801 3686 1845 567 346 1236
"396" "Houston Rockets" 45 37 8688 106 8403 102.5 285 3.5 1 2013 82 19780 3124 6782 0.461 867 2369 0.366 2257 4413 0.511 1573 2087 0.754 909 2652 3561 1902 679 359 1348
"397" "Indiana Pacers" 49 32 7674 94.7 7348 90.7 326 4 1 2013 81 19590 2845 6525 0.436 555 1599 0.347 2290 4926 0.465 1429 1915 0.746 1043 2671 3714 1645 580 513 1227
"398" "Los Angeles Clippers" 56 26 8289 101.1 7760 94.6 529 6.5 1 2013 82 19730 3160 6608 0.478 627 1752 0.358 2533 4856 0.522 1342 1888 0.711 938 2475 3413 1958 784 461 1197
"399" "Los Angeles Lakers" 45 37 8381 102.2 8286 101 95 1.2 1 2013 82 19755 3041 6640 0.458 715 2015 0.355 2326 4625 0.503 1584 2289 0.692 942 2732 3674 1818 576 429 1232
"400" "Memphis Grizzlies" 56 26 7659 93.4 7319 89.3 340 4.10000000000001 1 2013 82 19805 2964 6679 0.444 382 1107 0.345 2582 5572 0.463 1349 1746 0.773 1059 2445 3504 1715 703 436 1144
"401" "Miami Heat" 66 16 8436 102.9 7791 95 645 7.90000000000001 1 2013 82 19880 3148 6348 0.496 717 1809 0.396 2431 4539 0.536 1423 1887 0.754 676 2490 3166 1890 710 441 1143
"402" "Milwaukee Bucks" 38 44 8108 98.9 8231 100.4 -123 -1.5 1 2013 82 19830 3128 7197 0.435 601 1670 0.36 2527 5527 0.457 1251 1700 0.736 1068 2537 3605 1876 685 550 1156
"403" "Minnesota Timberwolves" 31 51 7851 95.7 8045 98.1 -194 -2.39999999999999 0 2013 82 19730 2943 6702 0.439 450 1475 0.305 2493 5227 0.477 1515 2042 0.742 973 2473 3446 1836 700 387 1214
"404" "New Orleans Hornets" 27 55 7714 94.1 8031 97.9 -317 -3.80000000000001 0 2013 82 19780 2955 6589 0.448 535 1474 0.363 2420 5115 0.473 1269 1636 0.776 988 2426 3414 1721 520 440 1193
"405" "New York Knicks" 54 28 8196 100 7849 95.7 347 4.3 1 2013 82 19730 2996 6689 0.448 891 2371 0.376 2105 4318 0.487 1313 1729 0.759 890 2436 3326 1579 672 294 988
"406" "Oklahoma City Thunder" 60 22 8669 105.7 7914 96.5 755 9.2 1 2013 82 19830 3126 6504 0.481 598 1588 0.377 2528 4916 0.514 1819 2196 0.828 854 2725 3579 1753 679 624 1253
"407" "Orlando Magic" 20 62 7718 94.1 8291 101.1 -573 -7 0 2013 82 19780 3093 6904 0.448 506 1537 0.329 2587 5367 0.482 1026 1359 0.755 890 2612 3502 1871 528 358 1191
"408" "Philadelphia 76ers" 34 48 7640 93.2 7914 96.5 -274 -3.3 0 2013 82 19755 3059 6895 0.444 518 1438 0.36 2541 5457 0.466 1004 1377 0.729 896 2493 3389 1867 609 384 1070
"409" "Phoenix Suns" 25 57 7805 95.2 8335 101.6 -530 -6.39999999999999 0 2013 82 19805 3061 6917 0.443 480 1455 0.33 2581 5462 0.473 1203 1618 0.744 959 2454 3413 1855 659 434 1278
"410" "Portland Trail Blazers" 33 49 7995 97.5 8255 100.7 -260 -3.2 0 2013 82 19855 3009 6715 0.448 673 1904 0.353 2336 4811 0.486 1304 1680 0.776 874 2474 3348 1784 538 353 1203
"411" "Sacramento Kings" 28 54 8219 100.2 8619 105.1 -400 -4.89999999999999 0 2013 82 19830 3086 6904 0.447 610 1681 0.363 2476 5223 0.474 1437 1869 0.769 943 2385 3328 1708 671 342 1199
"412" "San Antonio Spurs" 58 24 8448 103 7923 96.6 525 6.40000000000001 1 2013 82 19880 3210 6675 0.481 663 1764 0.376 2547 4911 0.519 1365 1725 0.791 666 2721 3387 2058 695 446 1206
"413" "Toronto Raptors" 34 48 7971 97.2 8092 98.7 -121 -1.5 0 2013 82 19980 2979 6685 0.446 571 1665 0.343 2408 5020 0.48 1442 1831 0.788 871 2426 3297 1765 595 392 1124
"414" "Utah Jazz" 43 39 8038 98 8045 98.1 -7 -0.0999999999999943 0 2013 82 19880 3046 6710 0.454 507 1385 0.366 2539 5325 0.477 1439 1883 0.764 989 2457 3446 1859 690 515 1210
"415" "Washington Wizards" 29 53 7644 93.2 7852 95.8 -208 -2.59999999999999 0 2013 82 19855 2910 6693 0.435 545 1495 0.365 2365 5198 0.455 1279 1746 0.733 887 2652 3539 1775 598 376 1238
"416" "Atlanta Hawks" 38 44 8282 101 8321 101.5 -39 -0.5 1 2014 82 19830 3061 6688 0.458 768 2116 0.363 2293 4572 0.502 1392 1782 0.781 713 2565 3278 2041 680 326 1251
"417" "Boston Celtics" 25 57 7892 96.2 8258 100.7 -366 -4.5 0 2014 82 19730 2996 6883 0.435 575 1729 0.333 2421 5154 0.47 1325 1706 0.777 980 2505 3485 1726 584 343 1261
"418" "Brooklyn Nets" 44 38 8079 98.5 8161 99.5 -82 -1 1 2014 82 19880 2931 6391 0.459 709 1922 0.369 2222 4469 0.497 1508 2002 0.753 721 2407 3128 1714 705 311 1191
"419" "Charlotte Bobcats" 43 39 7942 96.9 7960 97.1 -18 -0.199999999999989 1 2014 82 19905 2976 6730 0.442 516 1471 0.351 2460 5259 0.468 1474 2000 0.737 776 2724 3500 1778 499 421 1010
"420" "Chicago Bulls" 48 34 7680 93.7 7528 91.8 152 1.90000000000001 1 2014 82 19930 2843 6577 0.432 508 1459 0.348 2335 5118 0.456 1486 1908 0.779 937 2683 3620 1860 594 424 1223
"421" "Cleveland Cavaliers" 33 49 8054 98.2 8324 101.5 -270 -3.3 0 2014 82 19930 3036 6955 0.437 584 1640 0.356 2452 5315 0.461 1398 1861 0.751 989 2629 3618 1738 579 304 1163
"422" "Dallas Mavericks" 49 33 8597 104.8 8400 102.4 197 2.39999999999999 1 2014 82 19830 3249 6858 0.474 721 1877 0.384 2528 4981 0.508 1378 1733 0.795 840 2514 3354 1935 704 356 1110
"423" "Denver Nuggets" 36 46 8559 104.4 8735 106.5 -176 -2.09999999999999 0 2014 82 19755 3147 7042 0.447 702 1959 0.358 2445 5083 0.481 1563 2154 0.726 1009 2717 3726 1838 615 459 1305
"424" "Detroit Pistons" 29 53 8286 101 8586 104.7 -300 -3.7 0 2014 82 19780 3182 7124 0.447 507 1580 0.321 2675 5544 0.483 1415 2111 0.67 1196 2525 3721 1714 687 395 1193
"425" "Golden State Warriors" 51 31 8549 104.3 8155 99.5 394 4.8 1 2014 82 19830 3236 7005 0.462 774 2037 0.38 2462 4968 0.496 1303 1731 0.753 896 2819 3715 1912 642 407 1247
"426" "Houston Rockets" 54 28 8829 107.7 8455 103.1 374 4.60000000000001 1 2014 82 19830 3118 6603 0.472 779 2179 0.358 2339 4424 0.529 1814 2549 0.712 920 2797 3717 1755 621 461 1323
"427" "Indiana Pacers" 56 26 7933 96.7 7572 92.3 361 4.40000000000001 1 2014 82 19780 2949 6573 0.449 550 1542 0.357 2399 5031 0.477 1485 1907 0.779 834 2831 3665 1651 550 446 1237
"428" "Los Angeles Clippers" 57 25 8850 107.9 8278 101 572 6.90000000000001 1 2014 82 19755 3208 6761 0.474 693 1966 0.352 2515 4795 0.525 1741 2384 0.73 858 2668 3526 2016 703 397 1136
"429" "Los Angeles Lakers" 27 55 8442 103 8958 109.2 -516 -6.2 0 2014 82 19705 3139 6980 0.45 774 2032 0.381 2365 4948 0.478 1390 1835 0.757 745 2620 3365 2006 611 446 1239
"430" "Memphis Grizzlies" 50 32 7884 96.1 7755 94.6 129 1.5 1 2014 82 19805 3122 6723 0.464 405 1147 0.353 2717 5576 0.487 1235 1666 0.741 950 2526 3476 1792 631 375 1124
"431" "Miami Heat" 54 28 8380 102.2 7990 97.4 390 4.8 1 2014 82 19880 3142 6272 0.501 665 1829 0.364 2477 4443 0.558 1431 1884 0.76 627 2397 3024 1847 732 367 1212
"432" "Milwaukee Bucks" 15 67 7829 95.5 8500 103.7 -671 -8.2 0 2014 82 19880 2952 6737 0.438 548 1553 0.353 2404 5184 0.464 1377 1843 0.747 971 2399 3370 1760 541 403 1238
"433" "Minnesota Timberwolves" 40 42 8768 106.9 8549 104.3 219 2.60000000000001 0 2014 82 19855 3189 7175 0.444 600 1757 0.341 2589 5418 0.478 1790 2301 0.778 1024 2644 3668 1963 718 297 1142
"434" "New Orleans Pelicans" 34 48 8177 99.7 8399 102.4 -222 -2.7 0 2014 82 19855 3101 6761 0.459 486 1303 0.373 2615 5458 0.479 1489 1936 0.769 933 2486 3419 1745 647 523 1129
"435" "New York Knicks" 37 45 8084 98.6 8149 99.4 -65 -0.800000000000011 0 2014 82 19855 3027 6739 0.449 759 2038 0.372 2268 4701 0.482 1271 1670 0.761 870 2437 3307 1641 631 367 1063
"436" "Oklahoma City Thunder" 59 23 8705 106.2 8185 99.8 520 6.40000000000001 1 2014 82 19805 3194 6782 0.471 664 1839 0.361 2530 4943 0.512 1653 2052 0.806 887 2781 3668 1794 678 501 1256
"437" "Orlando Magic" 23 59 7914 96.5 8360 102 -446 -5.5 0 2014 82 19955 3022 6784 0.445 563 1596 0.353 2459 5188 0.474 1307 1714 0.763 794 2654 3448 1726 630 350 1222
"438" "Philadelphia 76ers" 19 63 8155 99.5 9012 109.9 -857 -10.4 0 2014 82 19855 3108 7150 0.435 577 1847 0.312 2531 5303 0.477 1362 1918 0.71 949 2556 3505 1791 765 330 1384
"439" "Phoenix Suns" 48 34 8629 105.2 8413 102.6 216 2.60000000000001 0 2014 82 19755 3172 6845 0.463 765 2055 0.372 2407 4790 0.503 1520 2004 0.758 928 2601 3529 1563 688 374 1258
"440" "Portland Trail Blazers" 54 28 8753 106.7 8426 102.8 327 3.90000000000001 1 2014 82 19855 3207 7134 0.45 770 2071 0.372 2437 5063 0.481 1569 1926 0.815 1022 2786 3808 1904 454 387 1125
"441" "Sacramento Kings" 28 54 8241 100.5 8479 103.4 -238 -2.90000000000001 0 2014 82 19830 3026 6766 0.447 491 1475 0.333 2535 5291 0.479 1698 2237 0.759 990 2656 3646 1547 587 318 1249
