"Team" "W" "L" "PTS" "PTS.G" "oppPTS" "oppPTS.G" "ptsDIFF" "ptsDIFF.G" "Playoffs" "Year" "G" "MP" "FG" "FGA" "FG_P" "x3P" "x3PA" "x3P_P" "x2P" "x2PA" "x2P_P" "FT" "FTA" "FT_P" "ORB" "DRB" "TRB" "AST" "STL" "BLK" "TOV"
"290" "Portland Trail Blazers" 54 28 8153 99.4 7715 94.1 438 5.30000000000001 1 2009 82 19830 3018 6494 0.465 596 1555 0.383 2422 4939 0.49 1521 1988 0.765 1060 2360 3420 1667 550 402 1055
"291" "Sacramento Kings" 17 65 8248 100.6 8966 109.3 -718 -8.7 0 2009 82 19905 2990 6685 0.447 586 1594 0.368 2404 5091 0.472 1682 2107 0.798 840 2366 3206 1619 569 349 1266
"292" "San Antonio Spurs" 54 28 7958 97 7650 93.3 308 3.7 1 2009 82 19905 3042 6534 0.466 625 1620 0.386 2417 4914 0.492 1249 1641 0.761 728 2638 3366 1736 474 329 963
"293" "Toronto Raptors" 33 49 8121 99 8352 101.9 -231 -2.90000000000001 0 2009 82 19805 3054 6673 0.458 479 1289 0.372 2575 5384 0.478 1534 1861 0.824 802 2513 3315 1835 523 390 1098
"294" "Utah Jazz" 48 34 8492 103.6 8275 100.9 217 2.69999999999999 1 2009 82 19880 3143 6623 0.475 392 1122 0.349 2751 5501 0.5 1814 2352 0.771 940 2423 3363 2024 719 374 1210
"295" "Washington Wizards" 19 63 7877 96.1 8489 103.5 -612 -7.40000000000001 0 2009 82 19705 2994 6655 0.45 395 1198 0.33 2599 5457 0.476 1494 1948 0.767 956 2330 3286 1641 619 365 1146
"296" "Atlanta Hawks" 53 29 8338 101.7 7956 97 382 4.7 1 2010 82 19855 3181 6801 0.468 524 1455 0.36 2657 5346 0.497 1452 1914 0.759 969 2451 3420 1789 592 413 980
"297" "Boston Celtics" 50 32 8136 99.2 7836 95.6 300 3.60000000000001 1 2010 82 19780 3039 6294 0.483 499 1433 0.348 2540 4861 0.523 1559 2090 0.746 716 2449 3165 1930 701 402 1219
"298" "Charlotte Bobcats" 44 38 7813 95.3 7693 93.8 120 1.5 1 2010 82 19880 2858 6306 0.453 460 1331 0.346 2398 4975 0.482 1637 2180 0.751 858 2490 3348 1658 632 446 1290
"299" "Chicago Bulls" 41 41 7993 97.5 8127 99.1 -134 -1.59999999999999 1 2010 82 19905 3081 6825 0.451 352 1066 0.33 2729 5759 0.474 1479 1962 0.754 937 2715 3652 1704 531 478 1175
"300" "Cleveland Cavaliers" 61 21 8373 102.1 7838 95.6 535 6.5 1 2010 82 19780 3101 6391 0.485 602 1582 0.381 2499 4809 0.52 1569 2180 0.72 791 2692 3483 1835 564 425 1137
"301" "Dallas Mavericks" 55 27 8364 102 8141 99.3 223 2.7 1 2010 82 19880 3140 6760 0.464 558 1498 0.372 2582 5262 0.491 1526 1870 0.816 834 2586 3420 1917 624 449 1059
"302" "Denver Nuggets" 53 29 8729 106.5 8394 102.4 335 4.09999999999999 1 2010 82 19780 3124 6678 0.468 544 1517 0.359 2580 5161 0.5 1937 2508 0.772 889 2505 3394 1719 683 417 1136
