"Team","Year","W","L","PTS","PTS.G","oppPTS","Playoffs","G","MP","FG","FGA","FG_P","X3P","X3PA","X3P_P","X2P","X2PA","X2P_P","FT","FTA","FT_P","ORB","DRB","TRB","AST","STL","BLK","TOV","PF"
"Los Angeles Lakers",2016,17,65,7982,97.3,8766,0,82,19730,2880,6956,0.414,639,2016,0.317,2241,4940,0.454,1583,2028,0.781,878,2645,3523,1478,593,337,1124,1662
"Memphis Grizzlies",2016,42,40,8126,99.1,8310,1,82,19830,3019,6859,0.44,504,1521,0.331,2515,5338,0.471,1584,2024,0.783,916,2497,3413,1697,724,350,1090,1783
"Miami Heat",2016,48,34,8204,100,8069,1,82,19830,3150,6697,0.47,498,1480,0.336,2652,5217,0.508,1406,1889,0.744,807,2811,3618,1709,553,531,1155,1502
"Milwaukee Bucks",2016,33,49,8122,99,8465,0,82,19830,3145,6740,0.467,440,1277,0.345,2705,5463,0.495,1392,1863,0.747,858,2559,3417,1895,672,475,1247,1695
"Minnesota Timberwolves",2016,29,53,8398,102.4,8688,0,82,19880,3095,6668,0.464,455,1347,0.338,2640,5321,0.496,1753,2213,0.792,821,2587,3408,1916,656,375,1231,1696
"New Orleans Pelicans",2016,30,52,8423,102.7,8734,0,82,19780,3153,7040,0.448,702,1951,0.36,2451,5089,0.482,1415,1823,0.776,782,2712,3494,1818,633,342,1102,1713
"New York Knicks",2016,32,50,8065,98.4,8289,0,82,19805,3022,6886,0.439,610,1762,0.346,2412,5124,0.471,1411,1753,0.805,850,2788,3638,1682,467,466,1099,1616
"Oklahoma City Thunder",2016,55,27,9038,110.2,8441,1,82,19830,3372,7082,0.476,678,1945,0.349,2694,5137,0.524,1616,2067,0.782,1071,2916,3987,1883,603,487,1305,1691
"Orlando Magic",2016,35,47,8369,102.1,8502,0,82,19905,3242,7120,0.455,636,1818,0.35,2606,5302,0.492,1249,1649,0.757,843,2709,3552,1933,673,417,1155,1701
"Philadelphia 76ers",2016,10,72,7988,97.4,8827,0,82,19805,2970,6887,0.431,764,2255,0.339,2206,4632,0.476,1284,1850,0.694,777,2605,3382,1765,680,495,1343,1780
"Phoenix Suns",2016,23,59,8271,100.9,8817,0,82,19705,3051,7018,0.435,738,2118,0.348,2313,4900,0.472,1431,1905,0.751,943,2733,3676,1701,632,313,1410,1858
"Portland Trail Blazers",2016,44,38,8622,105.1,8554,1,82,19805,3167,7040,0.45,864,2336,0.37,2303,4704,0.49,1424,1889,0.754,948,2782,3730,1748,562,380,1200,1782
"Sacramento Kings",2016,33,49,8740,106.6,8943,0,82,19805,3283,7083,0.464,660,1839,0.359,2623,5244,0.5,1514,2089,0.725,868,2760,3628,2009,733,368,1326,1676
"San Antonio Spurs",2016,67,15,8490,103.5,7618,1,82,19705,3289,6797,0.484,570,1518,0.375,2719,5279,0.515,1342,1672,0.803,770,2831,3601,2010,677,485,1071,1433
"Toronto Raptors",2016,56,26,8422,102.7,8053,1,82,19780,3006,6669,0.451,708,1915,0.37,2298,4754,0.483,1702,2190,0.777,836,2724,3560,1536,636,449,1073,1610
"Utah Jazz",2016,40,42,8010,97.7,7863,0,82,19955,2957,6593,0.449,694,1956,0.355,2263,4637,0.488,1402,1885,0.744,880,2665,3545,1555,631,425,1224,1655
"Washington Wizards",2016,41,41,8534,104.1,8575,0,82,19755,3238,7033,0.46,709,1983,0.358,2529,5050,0.501,1349,1849,0.73,743,2688,3431,2005,708,323,1186,1708
